id,date,s1,s2
1,171218M,15CPH,
2,181218M,15CIV,
3,181218A,17CIV,
4,191218A,15041,1731
5,201218M,15M1,
6,201218A,17M1,
7,211218A,15031,17PCD
8,221218M,1571,
9,221218A,1541,1732
10,241218M,1561,
11,241218A,1531,17M2
12,261218M,15PHY,1572
13,261218A,1542,1733
14,271218M,15CHE,
15,271218A,1551,17PHY
16,281218M,1562,
17,281218A,1532,17CHE
18,291218M,15CIV,1573
19,291218A,1543,1734
20,311218M,15PCD,
21,311218A,1552,17CIV
22,010119M,1563,
23,010119A,1533,
24,020119M,15EME,1574
25,020119A,1544,1735
26,030119M,15ELN,
27,030119A,1553,17EME
28,040119M,1564,
29,040119A,1534,17ELN
30,050119M,15ELE,1575
31,050119A,1545,1736
32,070119A,1554,17ELE
33,080119M,1565,
34,080119A,1535,17KAN
35,090119M,15M2,
36,090119A,1546,
37,100119A,1555,
38,110119M,1566,
39,110119A,1536,17031
40,140119A,1556,
41,040219A,18M1,
42,060219A,18CHE,
43,070219A,18PHY,
44,080219A,18CPS,
45,090219A,18CIV,
46,110219A,18ELN,
47,120219A,18ELE,
48,130219A,18ME,
49,150219A,18EGH1,
